Name,P,T,TwoPhase_Iter,TwoPhase_Cut,TwoPhase_CPU,TwoPhase_Obj,MP_CPU,SP_Cons_CPU,SP_Solve_CPU, 
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-0.dat,3,3,14,13,1.291,2384,0.964,0.011,0.316
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-1.dat,3,3,26,25,3.007,2636,1.884,0.027,1.096
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-2.dat,3,3,38,37,3.927,2971,2.649,0.041,1.237
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-3.dat,3,3,34,33,3.412,2365,2.258,0.038,1.116
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-4.dat,3,3,48,47,4.605,3637,3.594,0.048,0.963
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-0.dat,3,3,19,18,1.8,1608,1.346,0.019,0.435
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-1.dat,3,3,17,16,1.994,1634,1.19,0.017,0.787
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-2.dat,3,3,30,29,3.344,1918,2.239,0.03,1.075
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-3.dat,3,3,33,32,3.579,1608,2.36,0.034,1.185
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-4.dat,3,3,29,28,2.907,2181,2.117,0.03,0.76
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-0.dat,3,3,14,13,1.295,2384,0.983,0.009,0.303
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-1.dat,3,3,26,25,2.912,2636,1.836,0.02,1.056
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-2.dat,3,3,38,37,3.98,2971,2.715,0.038,1.227
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-3.dat,3,3,34,33,3.663,2365,2.433,0.036,1.194
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-4.dat,3,3,48,47,4.484,3637,3.484,0.049,0.951
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-0.dat,3,3,19,18,1.842,1608,1.383,0.017,0.442
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-1.dat,3,3,17,16,2.036,1634,1.205,0.017,0.814
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-2.dat,3,3,30,29,3.337,1918,2.226,0.033,1.078
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-3.dat,3,3,33,32,3.639,1608,2.372,0.039,1.228
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-4.dat,3,3,29,28,2.947,2181,2.182,0.024,0.741
