Name*P*T*GLSP_CPU*GLSP_LB*GLSP_UB*GLSP_Obj*GLSP_Gap*Nconsts*Nvars* 
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-100-100-100-0,dat*4*4*1,086*2586,96*2587*2587*1,53878e-05*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-100-100-100-1,dat*4*4*1,372*2228*2228*2228*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-100-100-100-2,dat*4*4*1,09*2429*2429*2429*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-100-100-100-3,dat*4*4*1,324*2347,81*2348*2348*7,95452e-05*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-100-100-100-4,dat*4*4*1,022*2608*2608*2608*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-50-100-100-0,dat*4*4*1,159*1385*1385*1385*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-50-100-100-1,dat*4*4*1,131*1228*1228*1228*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-50-100-100-2,dat*4*4*0,711*1231*1231*1231*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-50-100-100-3,dat*4*4*1,13*1314*1314*1314*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,6-0,5-50-100-100-4,dat*4*4*1,126*1305*1305*1305*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-100-100-100-0,dat*4*4*1,423*2587*2587*2587*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-100-100-100-1,dat*4*4*0,732*2227,83*2228*2228*7,48055e-05*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-100-100-100-2,dat*4*4*1,062*2429*2429*2429*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-100-100-100-3,dat*4*4*0,676*2348*2348*2348*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-100-100-100-4,dat*4*4*1,14*2607,75*2608*2608*9,58589e-05*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-50-100-100-0,dat*4*4*1,103*1385*1385*1385*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-50-100-100-1,dat*4*4*0,746*1228*1228*1228*0*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-50-100-100-2,dat*4*4*0,603*1230,92*1231*1231*6,76956e-05*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-50-100-100-3,dat*4*4*1,563*1313,98*1314*1314*1,23821e-05*480*400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0,8-0,5-50-100-100-4,dat*4*4*0,714*1305*1305*1305*0*480*400
