Name,P,T,GLSP_CPU,GLSP_Solve,GLSP_LB,GLSP_UB,GLSP_Obj,GLSP_Gap, 
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-100-100-100-0.dat,15,5,603.134,603,19981.4,31701,31701,0.369693
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-100-100-100-1.dat,15,5,603.743,603,20705.1,30256,30256,0.315669
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-100-100-100-2.dat,15,5,602.709,602,21425.2,29961,29961,0.284898
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-100-100-100-3.dat,15,5,604.439,604,19460.6,30178,30178,0.355139
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-100-100-100-4.dat,15,5,603.036,603,20504.1,30944,30944,0.337381
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-50-100-100-0.dat,15,5,600.688,600,12945.2,19245,19245,0.327345
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-50-100-100-1.dat,15,5,602.69,602,12473,17902,17902,0.303262
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-50-100-100-2.dat,15,5,601.055,601,13035.8,18462,18462,0.293912
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-50-100-100-3.dat,15,5,601.089,601,12523.2,18577,18577,0.325875
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.6-0.5-50-100-100-4.dat,15,5,600.934,601,13848.3,18964,18964,0.26976
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-100-100-100-0.dat,15,5,601.194,601,21042.3,32581,32581,0.354155
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-100-100-100-1.dat,15,5,601.053,601,19896.5,30830,30830,0.354639
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-100-100-100-2.dat,15,5,601.898,602,21479,30215,30215,0.289127
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-100-100-100-3.dat,15,5,601.642,601,22361,31282,31282,0.285179
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-100-100-100-4.dat,15,5,601.714,601,18712.1,32491,32491,0.424083
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-50-100-100-0.dat,15,5,601.038,601,11881.6,19579,19579,0.393144
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-50-100-100-1.dat,15,5,601.27,601,12216.5,18394,18394,0.335841
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-50-100-100-2.dat,15,5,601.078,601,13499.5,18567,18567,0.272931
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-50-100-100-3.dat,15,5,601.154,601,13590.1,18060,18060,0.247505
Results\SingleMachineCapVar2_15_5\Data1-15-15-0.8-0.5-50-100-100-4.dat,15,5,600.861,601,12823.8,19667,19667,0.347952
