Name*P*T*TwoPhase_Callback_Cut*TwoPhase_CPU*TwoPhase_LB*TwoPhase_UB*TwoPhase_Obj*TwoPhase_Gap*TwoPhase_Callback_CPU*TwoPhase_Callback_Call*SP_Cons_CPU*SP_Solve_CPU*Nconsts*Nvars* 
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-100-100-100-0,dat*10*5*3471*600,027*9260,49*12182*12182*0,239822*5,906*3486*0*4,744*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-100-100-100-1,dat*10*5*2327*600,032*8636,86*10994*10994*0,214402*2,866*2347*0*1,979*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-100-100-100-2,dat*10*5*3509*600,02*8896,62*12021*12021*0,25991*6,588*3519*0*5,379*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-100-100-100-3,dat*10*5*2823*600,02*8276*11223*11223*0,262585*3,812*2851*0*2,778*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-100-100-100-4,dat*10*5*3706*600,021*8807,42*12141*12141*0,274572*6,849*3726*0*5,574*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-50-100-100-0,dat*10*5*1063*600,015*6178,79*6408*6408*0,0357701*2,728*1070*0*2,315*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-50-100-100-1,dat*10*5*1229*600,015*5664,41*6052*6052*0,0640432*2,494*1238*0*2,022*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-50-100-100-2,dat*10*5*728*557,352*6177,38*6178*6178*9,99801e-05*1,744*729*0*1,452*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-50-100-100-3,dat*10*5*2357*600,023*5356,1*6310*6310*0,151172*5,231*2366*0*4,268*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,6-0,5-50-100-100-4,dat*10*5*1205*600,025*6001,67*6252*6252*0,0400393*2,888*1213*0*2,445*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-100-100-100-0,dat*10*5*3297*600,019*9191,04*12163*12163*0,244344*5,951*3311*0*4,848*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-100-100-100-1,dat*10*5*2502*600,032*8636,71*11048*11048*0,218256*3,298*2524*0*2,287*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-100-100-100-2,dat*10*5*3715*600,037*8908,29*12070*12070*0,261948*6,974*3729*0*5,705*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-100-100-100-3,dat*10*5*4142*600,035*8280,89*11324*11324*0,268731*5,21*4166*0*3,562*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-100-100-100-4,dat*10*5*4389*600,029*8765,41*12189*12189*0,280875*8,783*4402*0*7,184*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-50-100-100-0,dat*10*5*944*600,033*6194,18*6406*6406*0,0330653*2,491*950*0*2,082*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-50-100-100-1,dat*10*5*1162*600,013*5665,15*6052*6052*0,0639215*2,373*1171*0*1,932*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-50-100-100-2,dat*10*5*769*577,084*6177,38*6178*6178*9,99688e-05*1,823*770*0*1,551*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-50-100-100-3,dat*10*5*2074*600,029*5425,13*6310*6310*0,140232*4,453*2083*0*3,616*337*157
Results\SingleMachineCapVar2_TwoPhase_Callback_15_15\Data1-15-15-0,8-0,5-50-100-100-4,dat*10*5*1063*600,026*6032,62*6252*6252*0,0350893*2,503*1070*0*2,128*337*157
