Name,P,T,GLSP_CPU,GLSP_LB,GLSP_UB,GLSP_Obj,GLSP_Gap,Nconsts,Nvars, 
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-100-100-100-0.dat,10,5,603.585,8660.01,21326,21326,0.593923,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-100-100-100-1.dat,10,5,603.42,7598.07,18889,18889,0.597752,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-100-100-100-2.dat,10,5,602.463,8128.89,20642,20642,0.606197,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-100-100-100-3.dat,10,5,613.173,7377.85,19261,19261,0.616954,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-100-100-100-4.dat,10,5,601.285,8455.4,20647,20647,0.590478,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-50-100-100-0.dat,10,5,601.008,5093.4,12591,12591,0.595473,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-50-100-100-1.dat,10,5,604.012,4752.94,11374,11374,0.582122,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-50-100-100-2.dat,10,5,601.244,5128.45,12473,12473,0.588836,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-50-100-100-3.dat,10,5,610.638,4768.95,11587,11587,0.588422,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.6-0.5-50-100-100-4.dat,10,5,601.167,5372.52,12507,12507,0.570439,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-100-100-100-0.dat,10,5,601.573,8682.8,21321,21321,0.592758,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-100-100-100-1.dat,10,5,608.608,7945.89,19152,19152,0.585114,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-100-100-100-2.dat,10,5,604.109,8283.6,21745,21745,0.619057,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-100-100-100-3.dat,10,5,601.471,7322.42,18911,18911,0.612796,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-100-100-100-4.dat,10,5,611.056,7928.96,20819,20819,0.619148,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-50-100-100-0.dat,10,5,600.913,4719.1,12665,12665,0.62739,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-50-100-100-1.dat,10,5,601.431,4222.24,11506,11506,0.63304,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-50-100-100-2.dat,10,5,605.027,5122.82,12627,12627,0.594297,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-50-100-100-3.dat,10,5,603.354,4513.35,11874,11874,0.619897,4095,6050
Results\SingleMachineCapVar2_GLSP_NF_10_5\Data1-15-15-0.8-0.5-50-100-100-4.dat,10,5,602.746,4845.94,13051,13051,0.628692,4095,6050
