Name,P,T,GLSP_CPU,GLSP_Solve,GLSP_LB,GLSP_UB,GLSP_Obj,GLSP_Gap, 
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.6-0.5-50-100-100-0.dat,15,5,600.708,600,13999.3,18748,18748,0.253291
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.6-0.5-50-100-100-1.dat,15,5,600.253,600,12877.2,18486,18486,0.303409
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.6-0.5-50-100-100-2.dat,15,5,600.141,600,12807.5,19072,19072,0.328468
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.6-0.5-50-100-100-3.dat,15,5,600.182,600,12739,18718,18718,0.319427
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.6-0.5-50-100-100-4.dat,15,5,600.244,600,13956.5,19134,19134,0.270593
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-100-100-100-0.dat,15,5,600.422,600,22599.1,33769,33769,0.330773
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-100-100-100-1.dat,15,5,600.165,600,20830.2,30594,30594,0.319143
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-100-100-100-2.dat,15,5,600.195,600,20503.8,30526,30526,0.328318
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-100-100-100-3.dat,15,5,600.111,600,20120.5,33956,33956,0.407453
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-100-100-100-4.dat,15,5,600.14,600,21291.4,33480,33480,0.364057
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-50-100-100-0.dat,15,5,600.173,600,13370.2,19305,19305,0.307424
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-50-100-100-1.dat,15,5,600.162,600,12662.7,18240,18240,0.305775
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-50-100-100-2.dat,15,5,600.102,600,13324.1,19021,19021,0.299505
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-50-100-100-3.dat,15,5,600.139,600,12661.7,19055,19055,0.33552
Results\SingleMachineCapVar3_0_0\Data1-15-5-0.8-0.5-50-100-100-4.dat,15,5,600.193,600,13201.2,19203,19203,0.312545
