Name*P*T*GLSP_CPU*GLSP_LB*GLSP_UB*GLSP_Obj*GLSP_Gap*Nconsts*Nvars* 
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-100-100-100-0,dat*15*5*600,627*18884,3*32724*32724*0,422921*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-100-100-100-1,dat*15*5*600,678*20773,3*29719*29719*0,301008*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-100-100-100-2,dat*15*5*600,749*17399,3*30830*30830*0,435639*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-100-100-100-3,dat*15*5*601,593*1232,03*33919*33919*0,963677*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-100-100-100-4,dat*15*5*601,042*20062,6*31988*31988*0,372808*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-50-100-100-0,dat*15*5*600,583*13394,5*20146*20146*0,335126*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-50-100-100-1,dat*15*5*600,584*13413,1*18434*18434*0,272371*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-50-100-100-2,dat*15*5*600,722*13232,8*19939*19939*0,336335*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-50-100-100-3,dat*15*5*615,171*561,318*23432*23432*0,976045*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,6-0,5-50-100-100-4,dat*15*5*600,434*10662,2*20366*20366*0,476468*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,8-0,5-100-100-100-0,dat*15*5*600,862*8917,11*34257*34257*0,7397*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,8-0,5-100-100-100-1,dat*15*5*601,561*1238,66*31931*31931*0,961208*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,8-0,5-100-100-100-2,dat*15*5*603,936*16575,4*32841*32841*0,495282*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,8-0,5-50-100-100-1,dat*15*5*600,899*8232,05*19984*19984*0,588068*3426*20325
Results\SingleMachineCapVar2_GLSP_TF_15_5\Data1-15-15-0,8-0,5-50-100-100-2,dat*15*5*601,822*744,093*20299*20299*0,963343*3426*20325
