Name*P*T*GLSP_CPU*GLSP_LB*GLSP_UB*GLSP_Obj*GLSP_Gap*Nconsts*Nvars* 
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-100-100-100-0,dat*3*3*0,098*2384*2384*2384*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-100-100-100-1,dat*3*3*0,133*2636*2636*2636*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-100-100-100-2,dat*3*3*0,106*2971*2971*2971*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-100-100-100-3,dat*3*3*0,111*2365*2365*2365*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-100-100-100-4,dat*3*3*0,113*3637*3637*3637*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-50-100-100-0,dat*3*3*0,103*1608*1608*1608*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-50-100-100-1,dat*3*3*0,127*1634*1634*1634*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-50-100-100-2,dat*3*3*0,108*1918*1918*1918*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-50-100-100-3,dat*3*3*0,136*1608*1608*1608*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,6-0,5-50-100-100-4,dat*3*3*0,131*2181*2181*2181*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-100-100-100-0,dat*3*3*0,102*2384*2384*2384*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-100-100-100-1,dat*3*3*0,116*2636*2636*2636*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-100-100-100-2,dat*3*3*0,118*2971*2971*2971*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-100-100-100-3,dat*3*3*0,1*2365*2365*2365*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-100-100-100-4,dat*3*3*0,125*3637*3637*3637*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-50-100-100-0,dat*3*3*0,118*1608*1608*1608*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-50-100-100-1,dat*3*3*0,119*1634*1634*1634*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-50-100-100-2,dat*3*3*0,121*1918*1918*1918*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-50-100-100-3,dat*3*3*0,113*1608*1608*1608*0*88*171
Results\SingleMachineCapVar2_GLSP_TF_3_3\Data1-15-15-0,8-0,5-50-100-100-4,dat*3*3*0,121*2181*2181*2181*0*88*171
