Name,P,T,GLSP_CPU,GLSP_LB,GLSP_UB,GLSP_Obj,GLSP_Gap,Nconsts,Nvars, 
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-100-100-100-0.dat,4,4,0.734,5576.55,5577,5577,8.12438e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-100-100-100-1.dat,4,4,0.811,4920.52,4921,4921,9.79638e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-100-100-100-2.dat,4,4,1.712,5475,5475,5475,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-100-100-100-3.dat,4,4,0.815,4858,4858,4858,3.97e-07,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-100-100-100-4.dat,4,4,1.52,5988,5988,5988,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-50-100-100-0.dat,4,4,1.851,3649.99,3650,3650,1.57456e-06,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-50-100-100-1.dat,4,4,1.514,3074,3074,3074,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-50-100-100-2.dat,4,4,2.118,3499.77,3500,3500,6.48629e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-50-100-100-3.dat,4,4,1.707,3101.72,3102,3102,9.0497e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.6-0.5-50-100-100-4.dat,4,4,2.122,3842,3842,3842,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-100-100-100-0.dat,4,4,1.489,5576.51,5577,5577,8.83999e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-100-100-100-1.dat,4,4,0.875,4920.58,4921,4921,8.59103e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-100-100-100-2.dat,4,4,1.646,5475,5475,5475,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-100-100-100-3.dat,4,4,1.641,4858,4858,4858,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-100-100-100-4.dat,4,4,1.7,5988,5988,5988,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-50-100-100-0.dat,4,4,1.832,3650,3650,3650,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-50-100-100-1.dat,4,4,1.616,3074,3074,3074,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-50-100-100-2.dat,4,4,1.58,3499.69,3500,3500,8.92971e-05,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-50-100-100-3.dat,4,4,1.798,3102,3102,3102,0,480,400
Results\SingleMachineCapVar2_GLSP_NF_4_4\Data1-15-15-0.8-0.5-50-100-100-4.dat,4,4,1.687,3841.65,3842,3842,9.15804e-05,480,400
