Name,P,T,GLSP_CPU,GLSP_LB,GLSP_UB,GLSP_Obj,GLSP_Gap, 
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-100-100-100-0.dat,20,5,600.618,4538.01,42919,42919,0.894266
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-100-100-100-1.dat,20,5,601.076,2199.61,46255,46255,0.952446
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-100-100-100-2.dat,20,5,600.687,1917.31,44555,44555,0.956968
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-100-100-100-3.dat,20,5,601.288,1156.53,44811,44811,0.974191
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-100-100-100-4.dat,20,5,600.802,1696.83,42813,42813,0.960367
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-50-100-100-0.dat,20,5,600.837,1281.24,26832,26832,0.95225
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-50-100-100-1.dat,20,5,600.508,1160.36,25913,25913,0.955221
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-50-100-100-2.dat,20,5,602.418,829.59,27758,27758,0.970113
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-50-100-100-3.dat,20,5,602.505,681.331,27788,27788,0.975481
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.6-0.5-50-100-100-4.dat,20,5,600.69,1018.6,25346,25346,0.959812
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-100-100-100-0.dat,20,5,601.026,1942.57,45285,45285,0.957103
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-100-100-100-1.dat,20,5,601.059,2042.71,45829,45829,0.955428
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-100-100-100-2.dat,20,5,601.591,3046.6,45004,45004,0.932304
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-100-100-100-3.dat,20,5,601.003,1482.69,48842,48842,0.969643
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-100-100-100-4.dat,20,5,600.66,1909.6,45880,45880,0.958378
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-50-100-100-0.dat,20,5,601.03,1639.82,26486,26486,0.938087
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-50-100-100-1.dat,20,5,600.611,1440.17,26685,26685,0.946031
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-50-100-100-2.dat,20,5,602.403,954.827,27988,27988,0.965884
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-50-100-100-3.dat,20,5,600.878,918.842,27810,27810,0.96696
Results\SingleMachineCapVar25_GLSP_NF_20_5\Data1-25-15-0.8-0.5-50-100-100-4.dat,20,5,600.574,1022.18,26475,26475,0.961391
