Name,P,T,GLSP_CPU,GLSP_Solve,GLSP_LB,GLSP_UB,GLSP_Obj,GLSP_Gap, 
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-100-100-100-0.dat,5,5,60.027,60,4035.33,9824,9824,0.589237
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-100-100-100-1.dat,5,5,60.045,60,3798,7832,7832,0.515066
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-100-100-100-2.dat,5,5,60.027,60,3773,9139,9139,0.587154
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-100-100-100-3.dat,5,5,60.033,60,3089.19,8666,8666,0.643528
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-100-100-100-4.dat,5,5,60.068,60,3169,9944,9944,0.681316
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-50-100-100-0.dat,5,5,60.034,60,1939.27,6188,6188,0.686608
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-50-100-100-1.dat,5,5,60.049,60,1951.5,4889,4889,0.600839
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-50-100-100-2.dat,5,5,60.045,60,2082.13,5793,5793,0.640578
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-50-100-100-3.dat,5,5,60.043,60,1940,5529,5529,0.649123
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.6-0.5-50-100-100-4.dat,5,5,60.033,60,2053.73,6178,6178,0.667574
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.8-0.5-100-100-100-0.dat,5,5,60.049,60,3852.8,9866,9866,0.609487
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.8-0.5-100-100-100-1.dat,5,5,60.049,60,3695.33,7832,7832,0.528175
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.8-0.5-100-100-100-2.dat,5,5,60.032,60,3712.5,9141,9141,0.593863
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.8-0.5-100-100-100-3.dat,5,5,60.046,60,3906.75,8643,8643,0.547987
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.8-0.5-100-100-100-4.dat,5,5,60.039,60,3664,9871,9871,0.628812
Results\SingleMachineCapVar2_0_0\Data1-15-15-0.8-0.5-50-100-100-0.dat,5,5,60.032,60,2095,6033,6033,0.652743
